date,category_code,category_id,predicted_demand,cumulative_forecast,alert
2019-12-01,appliances.ironing_board,2053013566033757167,69.49863370111886,69.49863370111886,Overstock Risk
2019-12-02,appliances.ironing_board,2053013566033757167,28.49922121252603,97.99785491364489,Stable
2019-12-03,appliances.ironing_board,2053013566033757167,27.721353748791447,125.71920866243633,Stable
2019-12-04,appliances.ironing_board,2053013566033757167,26.49914007774388,152.2183487401802,Stable
2019-12-05,appliances.ironing_board,2053013566033757167,25.72138821194919,177.9397369521294,Stable
2019-12-06,appliances.ironing_board,2053013566033757167,30.999062432804838,208.93879938493424,Stable
2019-12-07,appliances.ironing_board,2053013566033757167,37.943451135028646,246.8822505199629,Overstock Risk
2019-12-08,appliances.ironing_board,2053013566033757167,71.33178138481432,318.21403190477724,Overstock Risk
2019-12-09,appliances.ironing_board,2053013566033757167,30.33236889618197,348.5464008009592,Stable
2019-12-10,appliances.ironing_board,2053013566033757167,29.554501432478517,378.1009022334377,Stable
2019-12-11,appliances.ironing_board,2053013566033757167,28.33228776137912,406.4331899948168,Stable
2019-12-12,appliances.ironing_board,2053013566033757167,27.554535895627,433.9877258904438,Stable
2019-12-13,appliances.ironing_board,2053013566033757167,32.832210116584186,466.819936007028,Overstock Risk
2019-12-14,appliances.ironing_board,2053013566033757167,39.776598818742215,506.5965348257702,Overstock Risk
2019-12-15,appliances.ironing_board,2053013566033757167,73.16492906851214,579.7614638942823,Overstock Risk
2019-12-16,appliances.ironing_board,2053013566033757167,32.16551657989561,611.926980474178,Overstock Risk
2019-12-17,appliances.ironing_board,2053013566033757167,31.38764911622477,643.3146295904028,Overstock Risk
2019-12-18,appliances.ironing_board,2053013566033757167,30.16543544510209,673.4800650355048,Stable
2019-12-19,appliances.ironing_board,2053013566033757167,29.387683579377118,702.867748614882,Stable
2019-12-20,appliances.ironing_board,2053013566033757167,34.665357800246525,737.5331064151285,Overstock Risk
2019-12-21,appliances.ironing_board,2053013566033757167,41.60974650231097,779.1428529174394,Overstock Risk
2019-12-22,appliances.ironing_board,2053013566033757167,74.9980767522199,854.1409296696593,Overstock Risk
2019-12-23,appliances.ironing_board,2053013566033757167,33.99866426358255,888.1395939332418,Overstock Risk
2019-12-24,appliances.ironing_board,2053013566033757167,33.2207967998548,921.3603907330967,Overstock Risk
2019-12-25,appliances.ironing_board,2053013566033757167,31.998583128825057,953.3589738619218,Overstock Risk
2019-12-26,appliances.ironing_board,2053013566033757167,31.2208312630007,984.5798051249225,Stable
2019-12-27,appliances.ironing_board,2053013566033757167,36.49850548390887,1021.0783106088313,Overstock Risk
2019-12-28,appliances.ironing_board,2053013566033757167,43.44289418611352,1064.5212047949449,Overstock Risk
2019-12-29,appliances.ironing_board,2053013566033757167,76.83122443591652,1141.3524292308614,Overstock Risk
2019-12-30,appliances.ironing_board,2053013566033757167,35.83181194729619,1177.1842411781577,Overstock Risk
2019-12-31,appliances.ironing_board,2053013566033757167,35.053944483598904,1212.2381856617565,Overstock Risk
