date,category_code,category_id,predicted_demand,cumulative_forecast,alert
2019-12-01,appliances.kitchen.hob,2053013563877884791,112.6878297888534,112.6878297888534,Overstock Risk
2019-12-02,appliances.kitchen.hob,2053013563877884791,38.085532155970206,150.77336194482362,Stable
2019-12-03,appliances.kitchen.hob,2053013563877884791,41.01321411583109,191.7865760606547,Stable
2019-12-04,appliances.kitchen.hob,2053013563877884791,42.13173828835329,233.918314349008,Overstock Risk
2019-12-05,appliances.kitchen.hob,2053013563877884791,43.58680547146536,277.50511982047334,Overstock Risk
2019-12-06,appliances.kitchen.hob,2053013563877884791,51.09125868550839,328.59637850598176,Overstock Risk
2019-12-07,appliances.kitchen.hob,2053013563877884791,65.79284666894686,394.38922517492864,Overstock Risk
2019-12-08,appliances.kitchen.hob,2053013563877884791,116.05421987418977,510.4434450491184,Overstock Risk
2019-12-09,appliances.kitchen.hob,2053013563877884791,41.45192224125779,551.8953672903762,Stable
2019-12-10,appliances.kitchen.hob,2053013563877884791,44.37960420117162,596.2749714915478,Overstock Risk
2019-12-11,appliances.kitchen.hob,2053013563877884791,45.4981283735998,641.7730998651476,Overstock Risk
2019-12-12,appliances.kitchen.hob,2053013563877884791,46.9531955567838,688.7262954219315,Overstock Risk
2019-12-13,appliances.kitchen.hob,2053013563877884791,54.45764877100523,743.1839441929367,Overstock Risk
2019-12-14,appliances.kitchen.hob,2053013563877884791,69.15923675432325,812.34318094726,Overstock Risk
2019-12-15,appliances.kitchen.hob,2053013563877884791,119.42060995954765,931.7637909068076,Overstock Risk
2019-12-16,appliances.kitchen.hob,2053013563877884791,44.8183123266456,976.5821032334532,Overstock Risk
2019-12-17,appliances.kitchen.hob,2053013563877884791,47.74599428659276,1024.328097520046,Overstock Risk
2019-12-18,appliances.kitchen.hob,2053013563877884791,48.86451845899589,1073.1926159790419,Overstock Risk
2019-12-19,appliances.kitchen.hob,2053013563877884791,50.319585642224474,1123.5122016212663,Overstock Risk
2019-12-20,appliances.kitchen.hob,2053013563877884791,57.82403885629643,1181.3362404775628,Overstock Risk
2019-12-21,appliances.kitchen.hob,2053013563877884791,72.52562683945459,1253.8618673170174,Overstock Risk
2019-12-22,appliances.kitchen.hob,2053013563877884791,122.78700004491985,1376.6488673619372,Overstock Risk
2019-12-23,appliances.kitchen.hob,2053013563877884791,48.184702411976815,1424.833569773914,Overstock Risk
2019-12-24,appliances.kitchen.hob,2053013563877884791,51.11238437184387,1475.945954145758,Overstock Risk
2019-12-25,appliances.kitchen.hob,2053013563877884791,52.23090854439199,1528.1768626901498,Overstock Risk
2019-12-26,appliances.kitchen.hob,2053013563877884791,53.68597572745213,1581.862838417602,Overstock Risk
2019-12-27,appliances.kitchen.hob,2053013563877884791,61.19042894158764,1643.0532673591897,Overstock Risk
2019-12-28,appliances.kitchen.hob,2053013563877884791,75.89201692498501,1718.9452842841747,Overstock Risk
2019-12-29,appliances.kitchen.hob,2053013563877884791,126.15339013026698,1845.0986744144416,Overstock Risk
2019-12-30,appliances.kitchen.hob,2053013563877884791,51.551092497364635,1896.6497669118062,Overstock Risk
2019-12-31,appliances.kitchen.hob,2053013563877884791,54.4787744572738,1951.12854136908,Overstock Risk
