date,category_code,category_id,predicted_demand,cumulative_forecast,alert
2019-12-01,appliances.kitchen.oven,2053013564003713919,266.16248642074515,266.16248642074515,Overstock Risk
2019-12-02,appliances.kitchen.oven,2053013564003713919,121.43754437195882,387.600030792704,Stable
2019-12-03,appliances.kitchen.oven,2053013564003713919,118.94078570230357,506.54081649500756,Stable
2019-12-04,appliances.kitchen.oven,2053013564003713919,120.72669672228935,627.2675132172969,Stable
2019-12-05,appliances.kitchen.oven,2053013564003713919,128.96734170340628,756.2348549207032,Stable
2019-12-06,appliances.kitchen.oven,2053013564003713919,138.62903808855253,894.8638930092558,Overstock Risk
2019-12-07,appliances.kitchen.oven,2053013564003713919,161.70024480876884,1056.5641378180246,Overstock Risk
2019-12-08,appliances.kitchen.oven,2053013564003713919,276.0620385265895,1332.6261763446141,Overstock Risk
2019-12-09,appliances.kitchen.oven,2053013564003713919,131.3370964776859,1463.9632728223,Stable
2019-12-10,appliances.kitchen.oven,2053013564003713919,128.8403378081361,1592.8036106304362,Stable
2019-12-11,appliances.kitchen.oven,2053013564003713919,130.6262488279287,1723.429859458365,Stable
2019-12-12,appliances.kitchen.oven,2053013564003713919,138.8668938092016,1862.2967532675666,Overstock Risk
2019-12-13,appliances.kitchen.oven,2053013564003713919,148.52859019470068,2010.8253434622673,Overstock Risk
2019-12-14,appliances.kitchen.oven,2053013564003713919,171.5997969146843,2182.4251403769517,Overstock Risk
2019-12-15,appliances.kitchen.oven,2053013564003713919,285.96159063247114,2468.386731009423,Overstock Risk
2019-12-16,appliances.kitchen.oven,2053013564003713919,141.23664858362318,2609.623379593046,Overstock Risk
2019-12-17,appliances.kitchen.oven,2053013564003713919,138.73988991415396,2748.3632695072,Overstock Risk
2019-12-18,appliances.kitchen.oven,2053013564003713919,140.52580093388636,2888.8890704410865,Overstock Risk
2019-12-19,appliances.kitchen.oven,2053013564003713919,148.7664459152464,3037.655516356333,Overstock Risk
2019-12-20,appliances.kitchen.oven,2053013564003713919,158.4281423004321,3196.0836586567652,Overstock Risk
2019-12-21,appliances.kitchen.oven,2053013564003713919,181.4993490200915,3377.5830076768566,Overstock Risk
2019-12-22,appliances.kitchen.oven,2053013564003713919,295.8611427383595,3673.444150415216,Overstock Risk
2019-12-23,appliances.kitchen.oven,2053013564003713919,151.1362006894426,3824.580351104659,Overstock Risk
2019-12-24,appliances.kitchen.oven,2053013564003713919,148.63944201980138,3973.21979312446,Overstock Risk
2019-12-25,appliances.kitchen.oven,2053013564003713919,150.42535303984403,4123.645146164304,Overstock Risk
2019-12-26,appliances.kitchen.oven,2053013564003713919,158.66599802085457,4282.311144185158,Overstock Risk
2019-12-27,appliances.kitchen.oven,2053013564003713919,168.32769440616352,4450.6388385913215,Overstock Risk
2019-12-28,appliances.kitchen.oven,2053013564003713919,191.3989011263241,4642.037739717645,Overstock Risk
2019-12-29,appliances.kitchen.oven,2053013564003713919,305.7606948442225,4947.798434561868,Overstock Risk
2019-12-30,appliances.kitchen.oven,2053013564003713919,161.0357527953799,5108.834187357248,Overstock Risk
2019-12-31,appliances.kitchen.oven,2053013564003713919,158.538994125819,5267.373181483067,Overstock Risk
