date,category_code,category_id,predicted_demand,cumulative_forecast,alert
2019-12-01,appliances.kitchen.washer,2053013563810775923,1284.8036131970116,1284.8036131970116,Overstock Risk
2019-12-02,appliances.kitchen.washer,2053013563810775923,628.0373118073662,1912.8409250043778,Stable
2019-12-03,appliances.kitchen.washer,2053013563810775923,616.2406731238614,2529.0815981282394,Stable
2019-12-04,appliances.kitchen.washer,2053013563810775923,616.041653599917,3145.1232517281564,Stable
2019-12-05,appliances.kitchen.washer,2053013563810775923,599.0068453257716,3744.130097053928,Stable
2019-12-06,appliances.kitchen.washer,2053013563810775923,693.6956103506241,4437.825707404552,Overstock Risk
2019-12-07,appliances.kitchen.washer,2053013563810775923,831.9695117208928,5269.795219125445,Overstock Risk
2019-12-08,appliances.kitchen.washer,2053013563810775923,1315.2060958621591,6585.001314987605,Overstock Risk
2019-12-09,appliances.kitchen.washer,2053013563810775923,658.4397944719335,7243.441109459538,Stable
2019-12-10,appliances.kitchen.washer,2053013563810775923,646.6431557889307,7890.084265248469,Stable
2019-12-11,appliances.kitchen.washer,2053013563810775923,646.4441362641911,8536.52840151266,Stable
2019-12-12,appliances.kitchen.washer,2053013563810775923,629.4093279906842,9165.937729503345,Stable
2019-12-13,appliances.kitchen.washer,2053013563810775923,724.0980930170816,9890.035822520425,Overstock Risk
2019-12-14,appliances.kitchen.washer,2053013563810775923,862.3719943863562,10752.407816906782,Overstock Risk
2019-12-15,appliances.kitchen.washer,2053013563810775923,1345.608578527339,12098.01639543412,Overstock Risk
2019-12-16,appliances.kitchen.washer,2053013563810775923,688.8422771374205,12786.858672571541,Overstock Risk
2019-12-17,appliances.kitchen.washer,2053013563810775923,677.0456384548427,13463.904311026385,Overstock Risk
2019-12-18,appliances.kitchen.washer,2053013563810775923,676.8466189297848,14140.75092995617,Overstock Risk
2019-12-19,appliances.kitchen.washer,2053013563810775923,659.8118106566765,14800.562740612846,Stable
2019-12-20,appliances.kitchen.washer,2053013563810775923,754.5005756817931,15555.06331629464,Overstock Risk
2019-12-21,appliances.kitchen.washer,2053013563810775923,892.7744770495863,16447.837793344224,Overstock Risk
2019-12-22,appliances.kitchen.washer,2053013563810775923,1376.0110611927612,17823.848854536984,Overstock Risk
2019-12-23,appliances.kitchen.washer,2053013563810775923,719.244759802452,18543.093614339436,Overstock Risk
2019-12-24,appliances.kitchen.washer,2053013563810775923,707.4481211190591,19250.541735458493,Overstock Risk
2019-12-25,appliances.kitchen.washer,2053013563810775923,707.2491015953784,19957.79083705387,Overstock Risk
2019-12-26,appliances.kitchen.washer,2053013563810775923,690.2142933207887,20648.00513037466,Overstock Risk
2019-12-27,appliances.kitchen.washer,2053013563810775923,784.9030583465045,21432.90818872116,Overstock Risk
2019-12-28,appliances.kitchen.washer,2053013563810775923,923.176959716413,22356.085148437574,Overstock Risk
2019-12-29,appliances.kitchen.washer,2053013563810775923,1406.413543857925,23762.4986922955,Overstock Risk
2019-12-30,appliances.kitchen.washer,2053013563810775923,749.647242467939,24512.145934763437,Overstock Risk
2019-12-31,appliances.kitchen.washer,2053013563810775923,737.8506037849813,25249.996538548417,Overstock Risk
