date,category_code,category_id,predicted_demand,cumulative_forecast,alert
2019-12-01,appliances.sewing_machine,2053013566100866035,215.3220850716224,215.3220850716224,Overstock Risk
2019-12-02,appliances.sewing_machine,2053013566100866035,98.365424579031,313.6875096506534,Overstock Risk
2019-12-03,appliances.sewing_machine,2053013566100866035,96.91605856240884,410.6035682130622,Overstock Risk
2019-12-04,appliances.sewing_machine,2053013566100866035,94.48202263572364,505.08559084878584,Overstock Risk
2019-12-05,appliances.sewing_machine,2053013566100866035,94.3827505201781,599.4683413689639,Overstock Risk
2019-12-06,appliances.sewing_machine,2053013566100866035,102.98503993657116,702.4533813055351,Overstock Risk
2019-12-07,appliances.sewing_machine,2053013566100866035,130.284792205166,832.7381735107011,Overstock Risk
2019-12-08,appliances.sewing_machine,2053013566100866035,222.90513225212925,1055.6433057628303,Overstock Risk
2019-12-09,appliances.sewing_machine,2053013566100866035,105.94847175944878,1161.591777522279,Overstock Risk
2019-12-10,appliances.sewing_machine,2053013566100866035,104.49910574290969,1266.0908832651887,Overstock Risk
2019-12-11,appliances.sewing_machine,2053013566100866035,102.06506981608062,1368.1559530812694,Overstock Risk
2019-12-12,appliances.sewing_machine,2053013566100866035,101.9657977006457,1470.1217507819151,Overstock Risk
2019-12-13,appliances.sewing_machine,2053013566100866035,110.56808711732833,1580.6898378992435,Overstock Risk
2019-12-14,appliances.sewing_machine,2053013566100866035,137.8678393857369,1718.5576772849804,Overstock Risk
2019-12-15,appliances.sewing_machine,2053013566100866035,230.48817943267,1949.0458567176504,Overstock Risk
2019-12-16,appliances.sewing_machine,2053013566100866035,113.53151894003516,2062.5773756576855,Overstock Risk
2019-12-17,appliances.sewing_machine,2053013566100866035,112.08215292355573,2174.6595285812414,Overstock Risk
2019-12-18,appliances.sewing_machine,2053013566100866035,109.64811699667494,2284.3076455779164,Overstock Risk
2019-12-19,appliances.sewing_machine,2053013566100866035,109.54884488131103,2393.8564904592276,Overstock Risk
2019-12-20,appliances.sewing_machine,2053013566100866035,118.15113429775332,2512.007624756981,Overstock Risk
2019-12-21,appliances.sewing_machine,2053013566100866035,145.45088656587518,2657.458511322856,Overstock Risk
2019-12-22,appliances.sewing_machine,2053013566100866035,238.07122661321534,2895.5297379360713,Overstock Risk
2019-12-23,appliances.sewing_machine,2053013566100866035,121.11456612052403,3016.6443040565955,Overstock Risk
2019-12-24,appliances.sewing_machine,2053013566100866035,119.66520010391153,3136.309504160507,Overstock Risk
2019-12-25,appliances.sewing_machine,2053013566100866035,117.23116417726928,3253.5406683377764,Overstock Risk
2019-12-26,appliances.sewing_machine,2053013566100866035,117.13189206163955,3370.672560399416,Overstock Risk
2019-12-27,appliances.sewing_machine,2053013566100866035,125.7341814781783,3496.4067418775944,Overstock Risk
2019-12-28,appliances.sewing_machine,2053013566100866035,153.03393374671313,3649.4406756243075,Overstock Risk
2019-12-29,appliances.sewing_machine,2053013566100866035,245.65427379373915,3895.094949418047,Overstock Risk
2019-12-30,appliances.sewing_machine,2053013566100866035,128.6976133011104,4023.792562719157,Overstock Risk
2019-12-31,appliances.sewing_machine,2053013566100866035,127.24824728455738,4151.040810003715,Overstock Risk
