date,category_code,category_id,predicted_demand,cumulative_forecast,alert
2019-12-01,construction.components.faucet,2053013557343158789,26.670448407793835,26.670448407793835,Overstock Risk
2019-12-02,construction.components.faucet,2053013557343158789,11.416782203497782,38.087230611291616,Stable
2019-12-03,construction.components.faucet,2053013557343158789,13.519043583843409,51.60627419513503,Stable
2019-12-04,construction.components.faucet,2053013557343158789,13.40780928280795,65.01408347794298,Stable
2019-12-05,construction.components.faucet,2053013557343158789,14.519091950775609,79.53317542871858,Stable
2019-12-06,construction.components.faucet,2053013557343158789,15.403636730938356,94.93681215965694,Overstock Risk
2019-12-07,construction.components.faucet,2053013557343158789,13.740915444044994,108.67772760370192,Stable
2019-12-08,construction.components.faucet,2053013557343158789,27.485254729535164,136.1629823332371,Overstock Risk
2019-12-09,construction.components.faucet,2053013557343158789,12.231588525223387,148.3945708584605,Stable
2019-12-10,construction.components.faucet,2053013557343158789,14.33384990558072,162.72842076404123,Stable
2019-12-11,construction.components.faucet,2053013557343158789,14.222615604519707,176.95103636856095,Stable
2019-12-12,construction.components.faucet,2053013557343158789,15.33389827250858,192.28493464106953,Overstock Risk
2019-12-13,construction.components.faucet,2053013557343158789,16.21844305271464,208.50337769378416,Overstock Risk
2019-12-14,construction.components.faucet,2053013557343158789,14.55572176579033,223.0590994595745,Stable
2019-12-15,construction.components.faucet,2053013557343158789,28.300061051278682,251.35916051085317,Overstock Risk
2019-12-16,construction.components.faucet,2053013557343158789,13.046394846967543,264.40555535782073,Stable
2019-12-17,construction.components.faucet,2053013557343158789,15.14865622734298,279.5542115851637,Overstock Risk
2019-12-18,construction.components.faucet,2053013557343158789,15.037421926273403,294.5916335114371,Overstock Risk
2019-12-19,construction.components.faucet,2053013557343158789,16.14870459427469,310.7403381057118,Overstock Risk
2019-12-20,construction.components.faucet,2053013557343158789,17.033249374436807,327.77358748014865,Overstock Risk
2019-12-21,construction.components.faucet,2053013557343158789,15.370528087486973,343.1441155676356,Overstock Risk
2019-12-22,construction.components.faucet,2053013557343158789,29.114867373021987,372.2589829406576,Overstock Risk
2019-12-23,construction.components.faucet,2053013557343158789,13.861201168706803,386.1201841093644,Stable
2019-12-24,construction.components.faucet,2053013557343158789,15.96346254905459,402.083646658419,Overstock Risk
2019-12-25,construction.components.faucet,2053013557343158789,15.852228248027096,417.9358749064461,Overstock Risk
2019-12-26,construction.components.faucet,2053013557343158789,16.96351091598106,434.8993858224271,Overstock Risk
2019-12-27,construction.components.faucet,2053013557343158789,17.848055696158973,452.7474415185861,Overstock Risk
2019-12-28,construction.components.faucet,2053013557343158789,16.185334409264467,468.9327759278505,Overstock Risk
2019-12-29,construction.components.faucet,2053013557343158789,29.9296736947644,498.8624496226149,Overstock Risk
2019-12-30,construction.components.faucet,2053013557343158789,14.67600749045096,513.5384571130659,Stable
2019-12-31,construction.components.faucet,2053013557343158789,16.778268870817598,530.3167259838834,Overstock Risk
