date,category_code,category_id,predicted_demand,cumulative_forecast,alert
2019-12-01,furniture.bedroom.blanket,2053013561847841545,13.133335975446531,13.133335975446531,Overstock Risk
2019-12-02,furniture.bedroom.blanket,2053013561847841545,6.888574400169021,20.02191037561555,Stable
2019-12-03,furniture.bedroom.blanket,2053013561847841545,6.346845745175532,26.368756120791083,Stable
2019-12-04,furniture.bedroom.blanket,2053013561847841545,6.680761785834168,33.049517906625255,Stable
2019-12-05,furniture.bedroom.blanket,2053013561847841545,7.2633269016127535,40.31284480823801,Stable
2019-12-06,furniture.bedroom.blanket,2053013561847841545,8.013757556230303,48.326602364468314,Stable
2019-12-07,furniture.bedroom.blanket,2053013561847841545,8.850945874180066,57.177548238648384,Overstock Risk
2019-12-08,furniture.bedroom.blanket,2053013561847841545,13.46881065809405,70.64635889674244,Overstock Risk
2019-12-09,furniture.bedroom.blanket,2053013561847841545,7.224049082810682,77.87040797955312,Stable
2019-12-10,furniture.bedroom.blanket,2053013561847841545,6.682320427822055,84.55272840737517,Stable
2019-12-11,furniture.bedroom.blanket,2053013561847841545,7.016236468472382,91.56896487584756,Stable
2019-12-12,furniture.bedroom.blanket,2053013561847841545,7.598801584258247,99.16776646010581,Stable
2019-12-13,furniture.bedroom.blanket,2053013561847841545,8.34923223888957,107.51699869899538,Stable
2019-12-14,furniture.bedroom.blanket,2053013561847841545,9.186420556830281,116.70341925582566,Overstock Risk
2019-12-15,furniture.bedroom.blanket,2053013561847841545,13.804285340741897,130.50770459656755,Overstock Risk
2019-12-16,furniture.bedroom.blanket,2053013561847841545,7.5595237654618135,138.06722836202937,Stable
2019-12-17,furniture.bedroom.blanket,2053013561847841545,7.017795110476863,145.08502347250624,Stable
2019-12-18,furniture.bedroom.blanket,2053013561847841545,7.351711151124533,152.43673462363077,Stable
2019-12-19,furniture.bedroom.blanket,2053013561847841545,7.934276266913848,160.37101089054462,Stable
2019-12-20,furniture.bedroom.blanket,2053013561847841545,8.68470692153248,169.0557178120771,Overstock Risk
2019-12-21,furniture.bedroom.blanket,2053013561847841545,9.521895239460342,178.57761305153744,Overstock Risk
2019-12-22,furniture.bedroom.blanket,2053013561847841545,14.139760023391634,192.71737307492907,Overstock Risk
2019-12-23,furniture.bedroom.blanket,2053013561847841545,7.894998448107813,200.61237152303687,Stable
2019-12-24,furniture.bedroom.blanket,2053013561847841545,7.353269793115407,207.96564131615227,Stable
2019-12-25,furniture.bedroom.blanket,2053013561847841545,7.687185833776686,215.65282714992895,Stable
2019-12-26,furniture.bedroom.blanket,2053013561847841545,8.269750949551039,223.92257809948,Stable
2019-12-27,furniture.bedroom.blanket,2053013561847841545,9.02018160417539,232.94275970365538,Overstock Risk
2019-12-28,furniture.bedroom.blanket,2053013561847841545,9.857369922122949,242.80012962577834,Overstock Risk
2019-12-29,furniture.bedroom.blanket,2053013561847841545,14.475234706039318,257.2753643318177,Overstock Risk
2019-12-30,furniture.bedroom.blanket,2053013561847841545,8.230473130758945,265.5058374625766,Stable
2019-12-31,furniture.bedroom.blanket,2053013561847841545,7.688744475769909,273.1945819383465,Stable
