date,category_code,category_id,predicted_demand,cumulative_forecast,alert
2019-12-01,furniture.bedroom.pillow,2053013561780732677,12.435721710734983,12.435721710734983,Overstock Risk
2019-12-02,furniture.bedroom.pillow,2053013561780732677,6.2125804387677555,18.64830214950274,Overstock Risk
2019-12-03,furniture.bedroom.pillow,2053013561780732677,6.125794311031711,24.77409646053445,Overstock Risk
2019-12-04,furniture.bedroom.pillow,2053013561780732677,6.236255897717948,31.010352358252398,Overstock Risk
2019-12-05,furniture.bedroom.pillow,2053013561780732677,4.797515079437872,35.80786743769027,Stable
2019-12-06,furniture.bedroom.pillow,2053013561780732677,5.83272472646043,41.6405921641507,Overstock Risk
2019-12-07,furniture.bedroom.pillow,2053013561780732677,6.235768723696349,47.876360887847056,Overstock Risk
2019-12-08,furniture.bedroom.pillow,2053013561780732677,12.593873778952355,60.47023466679941,Overstock Risk
2019-12-09,furniture.bedroom.pillow,2053013561780732677,6.370732506974331,66.84096717377375,Overstock Risk
2019-12-10,furniture.bedroom.pillow,2053013561780732677,6.283946379244678,73.12491355301843,Overstock Risk
2019-12-11,furniture.bedroom.pillow,2053013561780732677,6.394407965922285,79.51932151894071,Overstock Risk
2019-12-12,furniture.bedroom.pillow,2053013561780732677,4.955667147649261,84.47498866658998,Stable
2019-12-13,furniture.bedroom.pillow,2053013561780732677,5.990876794687675,90.46586546127766,Overstock Risk
2019-12-14,furniture.bedroom.pillow,2053013561780732677,6.3939207919148044,96.85978625319247,Overstock Risk
2019-12-15,furniture.bedroom.pillow,2053013561780732677,12.752025847164814,109.61181210035728,Overstock Risk
2019-12-16,furniture.bedroom.pillow,2053013561780732677,6.528884575189331,116.14069667554662,Overstock Risk
2019-12-17,furniture.bedroom.pillow,2053013561780732677,6.442098447469655,122.58279512301628,Overstock Risk
2019-12-18,furniture.bedroom.pillow,2053013561780732677,6.552560034141684,129.13535515715796,Overstock Risk
2019-12-19,furniture.bedroom.pillow,2053013561780732677,5.113819215872871,134.24917437303083,Stable
2019-12-20,furniture.bedroom.pillow,2053013561780732677,6.149028862897504,140.39820323592832,Overstock Risk
2019-12-21,furniture.bedroom.pillow,2053013561780732677,6.552072860110451,146.95027609603878,Overstock Risk
2019-12-22,furniture.bedroom.pillow,2053013561780732677,12.910177915382896,159.86045401142167,Overstock Risk
2019-12-23,furniture.bedroom.pillow,2053013561780732677,6.687036643403804,166.54749065482548,Overstock Risk
2019-12-24,furniture.bedroom.pillow,2053013561780732677,6.600250515670851,173.14774117049632,Overstock Risk
2019-12-25,furniture.bedroom.pillow,2053013561780732677,6.7107121023610805,179.8584532728574,Overstock Risk
2019-12-26,furniture.bedroom.pillow,2053013561780732677,5.27197128407634,185.13042455693372,Stable
2019-12-27,furniture.bedroom.pillow,2053013561780732677,6.307180931107333,191.43760548804104,Overstock Risk
2019-12-28,furniture.bedroom.pillow,2053013561780732677,6.710224928342045,198.1478304163831,Overstock Risk
2019-12-29,furniture.bedroom.pillow,2053013561780732677,13.068329983597813,211.2161603999809,Overstock Risk
2019-12-30,furniture.bedroom.pillow,2053013561780732677,6.845188711618803,218.06134911159972,Overstock Risk
2019-12-31,furniture.bedroom.pillow,2053013561780732677,6.758402583895589,224.8197516954953,Overstock Risk
