date,category_code,category_id,predicted_demand,cumulative_forecast,alert
2019-12-01,furniture.kitchen.table,2053013558316237377,54.972574186989696,54.972574186989696,Overstock Risk
2019-12-02,furniture.kitchen.table,2053013558316237377,22.09576265727497,77.06833684426466,Overstock Risk
2019-12-03,furniture.kitchen.table,2053013558316237377,24.44200795350704,101.51034479777171,Overstock Risk
2019-12-04,furniture.kitchen.table,2053013558316237377,25.953226785895538,127.46357158366725,Overstock Risk
2019-12-05,furniture.kitchen.table,2053013558316237377,24.113000641109412,151.57657222477667,Overstock Risk
2019-12-06,furniture.kitchen.table,2053013558316237377,28.333798047260956,179.91037027203762,Overstock Risk
2019-12-07,furniture.kitchen.table,2053013558316237377,34.896570042374464,214.8069403144121,Overstock Risk
2019-12-08,furniture.kitchen.table,2053013558316237377,57.438987660338135,272.2459279747502,Overstock Risk
2019-12-09,furniture.kitchen.table,2053013558316237377,24.562176130596967,296.8081041053472,Overstock Risk
2019-12-10,furniture.kitchen.table,2053013558316237377,26.908421426854968,323.7165255322021,Overstock Risk
2019-12-11,furniture.kitchen.table,2053013558316237377,28.419640259201834,352.136165791404,Overstock Risk
2019-12-12,furniture.kitchen.table,2053013558316237377,26.5794141144464,378.7155799058504,Overstock Risk
2019-12-13,furniture.kitchen.table,2053013558316237377,30.800211520676342,409.51579142652673,Overstock Risk
2019-12-14,furniture.kitchen.table,2053013558316237377,37.36298351573903,446.87877494226575,Overstock Risk
2019-12-15,furniture.kitchen.table,2053013558316237377,59.90540113368837,506.7841760759541,Overstock Risk
2019-12-16,furniture.kitchen.table,2053013558316237377,27.02858960396148,533.8127656799156,Overstock Risk
2019-12-17,furniture.kitchen.table,2053013558316237377,29.374834900239275,563.1876005801549,Overstock Risk
2019-12-18,furniture.kitchen.table,2053013558316237377,30.88605373257372,594.0736543127286,Overstock Risk
2019-12-19,furniture.kitchen.table,2053013558316237377,29.045827587837536,623.1194819005661,Overstock Risk
2019-12-20,furniture.kitchen.table,2053013558316237377,33.26662499400407,656.3861068945702,Overstock Risk
2019-12-21,furniture.kitchen.table,2053013558316237377,39.82939698899687,696.2155038835671,Overstock Risk
2019-12-22,furniture.kitchen.table,2053013558316237377,62.371814607053935,758.587318490621,Overstock Risk
2019-12-23,furniture.kitchen.table,2053013558316237377,29.495003077306666,788.0823215679277,Overstock Risk
2019-12-24,furniture.kitchen.table,2053013558316237377,31.84124837354449,819.9235699414722,Overstock Risk
2019-12-25,furniture.kitchen.table,2053013558316237377,33.3524672059456,853.2760371474178,Overstock Risk
2019-12-26,furniture.kitchen.table,2053013558316237377,31.51224106113699,884.7882782085549,Overstock Risk
2019-12-27,furniture.kitchen.table,2053013558316237377,35.733038467331795,920.5213166758866,Overstock Risk
2019-12-28,furniture.kitchen.table,2053013558316237377,42.29581046242721,962.8171271383138,Overstock Risk
2019-12-29,furniture.kitchen.table,2053013558316237377,64.83822808040327,1027.655355218717,Overstock Risk
2019-12-30,furniture.kitchen.table,2053013558316237377,31.96141655067118,1059.6167717693882,Overstock Risk
2019-12-31,furniture.kitchen.table,2053013558316237377,34.30766184693512,1093.9244336163233,Overstock Risk
