date,category_code,category_id,predicted_demand,cumulative_forecast,alert
2019-12-01,furniture.living_room.sofa,2053013559792632471,122.63588077178801,122.63588077178801,Overstock Risk
2019-12-02,furniture.living_room.sofa,2053013559792632471,54.86668842086535,177.50256919265337,Overstock Risk
2019-12-03,furniture.living_room.sofa,2053013559792632471,51.41718452858829,228.91975372124165,Overstock Risk
2019-12-04,furniture.living_room.sofa,2053013559792632471,51.984465160486934,280.9042188817286,Overstock Risk
2019-12-05,furniture.living_room.sofa,2053013559792632471,53.33584133093892,334.2400602126675,Overstock Risk
2019-12-06,furniture.living_room.sofa,2053013559792632471,62.0942584018134,396.33431861448094,Overstock Risk
2019-12-07,furniture.living_room.sofa,2053013559792632471,74.51379647293244,470.84811508741336,Overstock Risk
2019-12-08,furniture.living_room.sofa,2053013559792632471,127.20751749098193,598.0556325783953,Overstock Risk
2019-12-09,furniture.living_room.sofa,2053013559792632471,59.438325139995854,657.4939577183911,Overstock Risk
2019-12-10,furniture.living_room.sofa,2053013559792632471,55.98882124777083,713.482778966162,Overstock Risk
2019-12-11,furniture.living_room.sofa,2053013559792632471,56.55610187958389,770.0388808457459,Overstock Risk
2019-12-12,furniture.living_room.sofa,2053013559792632471,57.90747805010746,827.9463588958533,Overstock Risk
2019-12-13,furniture.living_room.sofa,2053013559792632471,66.66589512114086,894.6122540169943,Overstock Risk
2019-12-14,furniture.living_room.sofa,2053013559792632471,79.08543319215752,973.6976872091518,Overstock Risk
2019-12-15,furniture.living_room.sofa,2053013559792632471,131.7791542101799,1105.4768414193318,Overstock Risk
2019-12-16,furniture.living_room.sofa,2053013559792632471,64.00996185922571,1169.4868032785575,Overstock Risk
2019-12-17,furniture.living_room.sofa,2053013559792632471,60.56045796704569,1230.0472612456033,Overstock Risk
2019-12-18,furniture.living_room.sofa,2053013559792632471,61.12773859882497,1291.1749998444282,Overstock Risk
2019-12-19,furniture.living_room.sofa,2053013559792632471,62.47911476938933,1353.6541146138175,Overstock Risk
2019-12-20,furniture.living_room.sofa,2053013559792632471,71.2375318402848,1424.8916464541023,Overstock Risk
2019-12-21,furniture.living_room.sofa,2053013559792632471,83.65706991114907,1508.5487163652515,Overstock Risk
2019-12-22,furniture.living_room.sofa,2053013559792632471,136.3507909293972,1644.8995072946486,Overstock Risk
2019-12-23,furniture.living_room.sofa,2053013559792632471,68.58159857840462,1713.4811058730534,Overstock Risk
2019-12-24,furniture.living_room.sofa,2053013559792632471,65.13209468613898,1778.6132005591924,Overstock Risk
2019-12-25,furniture.living_room.sofa,2053013559792632471,65.69937531806605,1844.3125758772585,Overstock Risk
2019-12-26,furniture.living_room.sofa,2053013559792632471,67.05075148847108,1911.3633273657297,Overstock Risk
2019-12-27,furniture.living_room.sofa,2053013559792632471,75.80916855942874,1987.1724959251585,Overstock Risk
2019-12-28,furniture.living_room.sofa,2053013559792632471,88.22870663051692,2075.4012025556754,Overstock Risk
2019-12-29,furniture.living_room.sofa,2053013559792632471,140.92242764859316,2216.3236302042687,Overstock Risk
2019-12-30,furniture.living_room.sofa,2053013559792632471,73.15323529763448,2289.4768655019034,Overstock Risk
2019-12-31,furniture.living_room.sofa,2053013559792632471,69.70373140541079,2359.1805969073143,Overstock Risk
